State,id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Percent,Absolute
North Dakota,38,51.2,52.1,51.8,51.5,50,52.9,51.2,53,53.4,51.9,52.6,54,56.4,57,59.1,57.7,54.8,56.8,59.1,15.30%,7.9
Ohio,39,265.4,254.6,261,269.1,264.2,272.3,264.9,268.7,261.2,236.3,245.5,233.6,213.4,227.5,230,211.3,205.4,205.1,209.2,-21.20%,-56.2
Oklahoma,40,99.8,101.2,101.5,103.8,99.7,106.7,109.9,109.2,111.9,106.2,105,106.2,104,102.5,104,99.7,95.8,93,97.7,-2.10%,-2.1
Oregon,41,41,40.7,39.2,39.7,40.8,41.1,40.3,43.8,42.8,40.9,40.8,37.2,36.9,39.3,38.1,38.2,38,39.1,39.9,-2.60%,-1.1
Pennsylvania,42,276.4,263.3,270.1,274,276.7,280,274.2,277,268.7,243.7,256,250.3,239.4,249.7,249.6,233,218.2,215.4,220.5,-20.20%,-55.9
Rhode Island,44,11.7,12.3,11.7,11.5,10.9,11.2,10.5,11.1,10.7,11.2,11,11,10.5,10.1,10.6,10.9,9.7,10,11.1,-5.30%,-0.6
South Carolina,45,81,78.6,80.3,80.9,87.8,86.5,86.7,87.2,84.9,79.5,83.8,79.9,73.1,69.9,74.2,72.5,71.7,69.3,73.4,-9.30%,-7.6
South Dakota,46,14.2,13.5,13.8,13.8,13.8,13.3,13.4,13.9,15,14.8,15,14.6,14.8,15.4,15.3,14.1,14.8,14.7,15.6,9.80%,1.4
Tennessee,47,127.4,125.2,124.6,122.9,124.4,125.8,127.8,127.5,120.9,102.4,110.5,106.7,100.3,99.1,104.5,100.8,103.5,98.2,94.7,-25.70%,-32.7
Texas,48,676.2,671,683.2,678.4,677.8,651.1,649.8,649.5,620.7,583.3,612.9,631.3,617.3,647.2,653.4,648,651.5,661.9,684,1.20%,7.8
Utah,49,65.2,63,62.3,63.2,65.6,67.2,68.4,70.4,69.5,64.7,63.7,64.1,61.4,66.4,65.1,63.5,58.7,58.8,61.1,-6.20%,-4.1
Vermont,50,6.7,6.6,6.4,6.6,7,6.8,6.7,6.5,5.9,6.2,5.9,5.8,5.4,5.7,5.9,6.1,5.9,5.8,5.9,-13.20%,-0.9
Virginia,51,123.2,120.9,119.5,123.7,127.5,129.3,122.8,128,116.8,105.7,111.2,102.4,98.6,105.8,106.5,106.5,107.6,103.3,107.8,-12.50%,-15.4
Washington,53,78.1,77.9,71.6,73.6,74.9,75.9,73.4,78.9,75.5,73.4,70.8,67.1,65.5,72.2,70.5,72.3,77.6,77.6,77,-1.40%,-1.1
West Virginia,54,115,104.2,117.4,114.1,110.9,113.1,113.1,115.3,111.2,90.1,101.2,98.6,92.8,95.1,100.8,92.8,95.4,91.7,90,-21.70%,-24.9
Wisconsin,55,108.1,105.9,107.2,105.3,107.7,111,103,104.8,105.2,96.2,98.9,98.1,90.8,101.5,101.6,100.4,96.3,99.4,102,-5.70%,-6.1
Wyoming,56,63.3,63.6,62.4,64.3,64.2,63.5,64.3,66.7,67.2,63.9,65.5,64.3,66.6,68.8,65.7,63.8,61.1,62.6,63.6,0.50%,0.3
